차종,월,발생건수,사망자수,부상자수,중상,경상,부상신고
승용차,01월,11886,185,18128,3947,13276,905
승용차,02월,11305,153,17608,3745,12937,926
승용차,03월,11450,157,17288,3825,12561,902
승용차,04월,11942,140,18200,4051,13223,926
승용차,05월,12449,144,19143,4271,13872,1000
승용차,06월,11746,119,17814,3887,12996,931
승용차,07월,12425,137,19333,4096,14148,1089
승용차,08월,12160,174,19078,4066,13996,1016
승용차,09월,12151,155,18947,4114,13857,976
승용차,10월,12839,168,19197,4214,13996,987
승용차,11월,12558,138,18935,4165,13814,956
승용차,12월,12327,167,18555,3771,13755,1029
승합차,01월,1077,21,1725,433,1180,112
승합차,02월,989,19,1639,388,1123,128
승합차,03월,1118,23,1685,457,1102,126
승합차,04월,1149,22,1806,416,1227,163
승합차,05월,1116,20,1859,463,1237,159
승합차,06월,1012,8,1595,447,1052,96
승합차,07월,1107,16,1724,393,1202,129
승합차,08월,1086,17,1684,410,1159,115
승합차,09월,1112,27,1804,445,1243,116
승합차,10월,1330,18,2070,542,1426,102
승합차,11월,1256,27,2115,547,1390,178
승합차,12월,1174,29,1836,461,1254,121
화물차,01월,2176,67,3216,810,2242,164
화물차,02월,2089,65,3164,806,2188,170
화물차,03월,2164,65,3249,880,2221,148
화물차,04월,2231,58,3416,899,2350,167
화물차,05월,2269,70,3457,943,2333,181
화물차,06월,2381,68,3593,995,2378,220
화물차,07월,2325,74,3564,914,2500,150
화물차,08월,2349,80,3650,951,2502,197
화물차,09월,2314,81,3595,965,2460,170
화물차,10월,2577,99,3922,1053,2708,161
화물차,11월,2451,62,3560,949,2448,163
화물차,12월,2236,79,3250,811,2269,170
특수차,01월,99,0,157,36,110,11
특수차,02월,92,4,153,38,110,5
특수차,03월,107,5,173,48,111,14
특수차,04월,94,7,121,32,83,6
특수차,05월,92,2,141,32,105,4
특수차,06월,88,9,137,44,85,8
특수차,07월,100,5,156,35,114,7
특수차,08월,85,10,158,39,95,24
특수차,09월,86,5,129,32,93,4
특수차,10월,116,0,170,33,136,1
특수차,11월,115,4,157,41,108,8
특수차,12월,104,6,161,40,112,9
이륜차,01월,868,12,1090,274,614,202
이륜차,02월,846,14,1031,298,574,159
이륜차,03월,1137,33,1371,404,781,186
이륜차,04월,1238,43,1510,434,834,242
이륜차,05월,1284,36,1564,462,855,247
이륜차,06월,1390,30,1757,501,961,295
이륜차,07월,1419,48,1758,515,971,272
이륜차,08월,1417,42,1760,474,966,320
이륜차,09월,1357,42,1710,460,996,254
이륜차,10월,1440,53,1773,511,990,272
이륜차,11월,1417,34,1761,469,1010,282
이륜차,12월,1219,23,1536,378,902,256
사륜오토바이(ATV),01월,11,4,9,5,3,1
사륜오토바이(ATV),02월,18,3,18,6,10,2
사륜오토바이(ATV),03월,31,4,38,13,23,2
사륜오토바이(ATV),04월,31,3,32,10,18,4
사륜오토바이(ATV),05월,26,5,27,13,11,3
사륜오토바이(ATV),06월,32,5,32,9,18,5
사륜오토바이(ATV),07월,29,5,27,9,17,1
사륜오토바이(ATV),08월,37,9,31,19,8,4
사륜오토바이(ATV),09월,39,7,42,11,23,8
사륜오토바이(ATV),10월,39,7,35,9,20,6
사륜오토바이(ATV),11월,21,5,19,6,7,6
사륜오토바이(ATV),12월,19,2,20,10,9,1
원동기장치자전거,01월,168,1,204,56,111,37
원동기장치자전거,02월,149,6,189,57,99,33
원동기장치자전거,03월,184,6,218,55,128,35
원동기장치자전거,04월,259,11,298,85,161,52
원동기장치자전거,05월,212,11,256,78,140,38
원동기장치자전거,06월,204,7,236,69,128,39
원동기장치자전거,07월,207,4,233,70,129,34
원동기장치자전거,08월,203,5,237,69,125,43
원동기장치자전거,09월,176,4,216,75,114,27
원동기장치자전거,10월,182,4,224,58,123,43
원동기장치자전거,11월,158,5,192,60,104,28
원동기장치자전거,12월,144,4,167,39,103,25
자전거,01월,176,4,176,41,85,50
자전거,02월,202,6,204,46,117,41
자전거,03월,311,5,338,97,176,65
자전거,04월,454,5,484,146,239,99
자전거,05월,512,10,553,144,271,138
자전거,06월,623,7,673,198,315,160
자전거,07월,479,11,507,136,255,116
자전거,08월,436,9,453,116,235,102
자전거,09월,521,10,552,146,269,137
자전거,10월,490,9,508,153,233,122
자전거,11월,369,9,386,99,190,97
자전거,12월,198,6,207,55,105,47
개인형이동수단(PM),01월,8,0,8,6,1,1
개인형이동수단(PM),02월,8,0,8,2,5,1
개인형이동수단(PM),03월,3,0,3,2,1,0
개인형이동수단(PM),04월,16,0,20,7,10,3
개인형이동수단(PM),05월,15,0,15,7,6,2
개인형이동수단(PM),06월,17,0,18,4,10,4
개인형이동수단(PM),07월,33,0,33,12,16,5
개인형이동수단(PM),08월,28,2,28,7,16,5
개인형이동수단(PM),09월,34,2,33,9,20,4
개인형이동수단(PM),10월,23,0,27,8,13,6
개인형이동수단(PM),11월,19,0,19,6,10,3
개인형이동수단(PM),12월,21,0,26,6,12,8
건설기계,01월,177,7,278,68,202,8
건설기계,02월,156,4,215,75,134,6
건설기계,03월,171,5,273,64,193,16
건설기계,04월,216,4,359,87,225,47
건설기계,05월,252,4,362,73,282,7
건설기계,06월,214,7,307,80,212,15
건설기계,07월,206,7,339,72,253,14
건설기계,08월,163,5,250,51,188,11
건설기계,09월,187,7,277,78,182,17
건설기계,10월,259,8,418,100,294,24
건설기계,11월,226,9,367,92,264,11
건설기계,12월,200,6,289,66,207,16
농기계,01월,11,3,13,5,8,0
농기계,02월,13,1,15,6,8,1
농기계,03월,26,7,25,11,12,2
농기계,04월,34,10,29,15,13,1
농기계,05월,47,6,54,17,35,2
농기계,06월,41,5,44,17,25,2
농기계,07월,44,6,53,17,30,6
농기계,08월,40,3,41,21,16,4
농기계,09월,38,6,49,18,22,9
농기계,10월,47,7,45,19,22,4
농기계,11월,43,5,47,16,31,0
농기계,12월,14,1,16,5,11,0
기타,01월,10,0,10,6,4,0
기타,02월,15,0,18,3,11,4
기타,03월,11,0,11,2,8,1
기타,04월,15,0,25,2,17,6
기타,05월,16,0,18,5,10,3
기타,06월,17,1,18,7,7,4
기타,07월,17,0,22,5,13,4
기타,08월,10,0,15,3,9,3
기타,09월,14,0,14,7,5,2
기타,10월,22,0,23,8,12,3
기타,11월,14,0,16,1,14,1
기타,12월,8,0,9,1,8,0
불명,01월,359,0,424,58,279,87
불명,02월,326,0,368,48,242,78
불명,03월,309,0,343,60,211,72
불명,04월,313,0,343,46,230,67
불명,05월,346,1,385,51,252,82
불명,06월,317,0,350,46,223,81
불명,07월,308,2,355,51,212,92
불명,08월,321,1,364,44,239,81
불명,09월,342,2,383,58,229,96
불명,10월,374,0,424,65,275,84
불명,11월,382,0,426,64,278,84
불명,12월,346,0,391,40,271,80
